key,textid,sector_name,action,x1,y1,x2,y2,gate_n,gate_s,gate_w,gate_e
11707,1020907,Midnight Star,0,17,7,6,8,1,0,1,1
11807,1020908,Belt of Aguilar,0,18,7,7,8,1,0,1,1
11206,1020909,Nyana's Hideout,0,12,6,8,8,1,1,1,1
10405,1020910,Brennan's Triumph,0,4,5,9,8,1,0,1,0
10111,1020911,Rhy's Crusade,0,1,11,10,8,0,1,0,1
10211,1020912,Rhy's Desire,0,2,11,11,8,1,1,1,1
10702,1020913,Family Pride,0,7,2,12,8,0,1,1,0
21308,1020914,Family Kao,1,-1,-1,13,8,1,1,0,1
21408,1020915,Kao's Wolf,1,-1,-1,14,8,1,0,1,0
10005,1020918,Cloudbase South West,0,0,5,17,8,1,1,0,1
10105,1020919,Ore Belt,0,1,5,18,8,1,0,1,1
10205,1020920,Cloudbase South East,0,2,5,19,8,1,1,1,0
11314,1021002,Terran A,0,13,14,1,9,0,1,0,1
11315,1021003,Terran B,0,13,15,2,9,1,1,1,1
20309,1021004,Megnir,1,-1,-1,3,9,1,1,1,0
20409,1021005,De Vries,1,-1,-1,4,9,1,1,0,0
11608,1021006,Interworlds,0,16,8,5,9,1,1,0,0
20609,1021007,Desert Moon,1,-1,-1,6,9,0,1,0,1
20709,1021008,Frozen Ocean,1,-1,-1,7,9,0,0,1,1
10000,1021009,Kingdom End,0,0,0,8,9,1,1,1,0
11900,1021010,Xenon Sector 596,0,19,0,9,9,0,1,0,0
21009,1021011,Patriarch's Victory,1,-1,-1,10,9,1,1,0,0
10212,1021012,Family Rhy,0,2,12,11,9,1,1,0,1
21209,1021013,Rhy's Clouds,1,-1,-1,12,9,1,0,1,1
10803,1021014,Tharka's Sun,0,8,3,13,9,1,0,1,1
21409,1021015,Vantera,1,-1,-1,14,9,0,1,1,1
21509,1021016,Aurora,1,-1,-1,15,9,0,1,1,0
21709,1021018,Vestibule of Creation,1,-1,-1,17,9,1,1,0,0
21809,1021019,Green Market,1,-1,-1,18,9,0,1,0,1
21909,1021020,Open Space,1,-1,-1,19,9,1,0,1,1
22009,1021021,Queen's City,1,-1,-1,20,9,0,0,1,0
11115,1021102,Terran D,0,11,15,1,10,1,1,0,1
11215,1021103,Terran C,0,12,15,2,10,1,0,1,0
20310,1021104,Xenon Sector 138,1,-1,-1,3,10,1,1,0,0
20410,1021105,Unexpected Gift,1,-1,-1,4,10,1,0,0,1
10215,1021106,Mists of Elysium,0,2,15,5,10,1,1,1,1
10214,1021107,Great Reef,0,2,14,6,10,1,1,1,1
10213,1021108,Reservoir of Transquility,0,2,13,7,10,0,0,1,1
10100,1021109,Rolk's Drift,0,1,0,8,10,1,1,1,0
11901,1021110,Xenon Sector 597,0,19,1,9,10,1,1,0,0
21010,1021111,Lau's Gamble,1,-1,-1,10,10,1,1,0,1
21110,1021112,Family Lau,1,-1,-1,11,10,1,0,1,1
21210,1021113,Grand Cathedral,1,-1,-1,12,10,0,1,1,0
21310,1021114,Xenon Sector 343,1,-1,-1,13,10,0,1,0,0
21410,1021115,Asgard,1,-1,-1,14,10,1,1,0,1
21510,1021116,Hive Remnant,1,-1,-1,15,10,1,1,1,0
10209,1021117,Emperor's Wisdom,0,2,9,16,10,0,1,0,1
10109,1021118,Duke's Vision,0,1,9,17,10,1,1,1,1
10611,1021119,Clarity's End,0,6,11,18,10,1,1,1,1
10902,1021120,Patriarch's Retreat,0,9,2,19,10,0,1,1,0
11714,1021202,Queen's Retribution,0,17,14,1,11,1,1,0,1
11814,1021203,Hollow Infinity,0,18,14,2,11,0,0,1,1
10812,1021204,Desecrated Skies,0,8,12,3,11,1,0,1,1
10710,1021205,Gunne's Crusade,0,7,10,4,11,0,1,1,1
20511,1021206,Lost River,1,-1,-1,5,11,1,0,1,1
11004,1021207,Two Grand,0,10,4,6,11,1,1,1,1
20711,1021208,Nividium Fortune,1,-1,-1,7,11,0,1,1,0
11104,1021209,V Alpha,0,11,4,8,11,1,0,0,1
11402,1021210,Home of Opportunity,0,14,2,9,11,1,1,1,1
21011,1021211,The Guild,1,-1,-1,10,11,1,1,1,1
21111,1021212,Xaar's Greatness,1,-1,-1,11,11,0,0,1,1
21211,1021213,Nova Paranidia,1,-1,-1,12,11,1,0,1,1
21311,1021214,Mines of Third Duke,1,-1,-1,13,11,1,1,1,1
21411,1021215,Old Realm,1,-1,-1,14,11,1,0,1,1
21511,1021216,Ancient Kingdom,1,-1,-1,15,11,1,1,1,1
21611,1021217,First Colony,1,-1,-1,16,11,1,1,1,0
10108,1021218,Preacher's Void,0,1,8,17,11,1,1,0,1
10711,1021219,Third Redemption,0,7,11,18,11,1,1,1,1
10903,1021220,Cho's Defeat,0,9,3,19,11,1,1,1,1
22011,1021221,Whi's Arrow,1,-1,-1,20,11,0,0,1,1
22111,1021222,Rhonkar's Defeat,1,-1,-1,21,11,0,1,1,0
11615,1021301,Faded Dreams,0,16,15,0,12,0,1,0,1
11715,1021302,Queen's Harbour,0,17,15,1,12,1,1,1,1
11815,1021303,Menelaus' Oasis,0,18,15,2,12,0,1,1,1
11307,1021304,V Gamma,0,13,7,3,12,0,0,1,0
10910,1021305,LooManckStrat's Legacy,0,9,10,4,12,1,1,0,1
10905,1021306,Creditania,0,9,5,5,12,0,1,1,1
11005,1021307,Profit Center Alpha,0,10,5,6,12,1,0,1,1
11105,1021308,PTNI Headquarters,0,11,5,7,12,1,1,1,1
10007,1021309,Savage Spur,0,0,7,8,12,0,1,1,1
11106,1021310,Scale Plate Green,0,11,6,9,12,1,0,1,1
11805,1021311,Family Zyarth,0,18,5,10,12,1,1,1,1
11905,1021312,Zyarth's Dominion,0,19,5,11,12,0,0,1,1
12005,1021313,Zyarth's Stand,0,20,5,12,12,0,1,1,1
11811,1021314,Unknown Sector Delta,0,18,11,13,12,1,0,1,0
21512,1021316,House of Yamato,1,-1,-1,15,12,1,1,0,0
10207,1021317,Duke's Domain,0,2,7,16,12,1,1,0,1
10107,1021318,Empire's Edge,0,1,7,17,12,1,1,1,0
10811,1021319,Perdition's End,0,8,11,18,12,1,0,0,0
10904,1021320,Patriarch's Keep,0,9,4,19,12,1,0,0,1
10600,1021321,Family Whi,0,6,0,20,12,0,1,1,1
22112,1021322,Whi's Dragon,1,-1,-1,21,12,1,0,1,0
11616,1021401,Veil of Delusion,0,16,16,0,13,1,0,0,0
10810,1021402,Z Alpha,0,8,10,1,13,1,0,0,0
11816,1021403,Distant Clouds,0,18,16,2,13,1,1,0,1
20313,1021404,Forgotten Realm,1,-1,-1,3,13,0,1,1,0
10911,1021405,Mi Ton's Refuge,0,9,11,4,13,1,1,0,0
10908,1021406,New Income,0,9,8,5,13,1,1,0,1
20613,1021407,Unlimited Stock,1,-1,-1,6,13,0,0,1,1
20713,1021408,Free Market,1,-1,-1,7,13,1,1,1,0
10008,1021409,Ocracoke's Storm,0,0,8,8,13,1,1,0,0
20913,1021410,Atlantia,1,-1,-1,9,13,0,1,0,1
11403,1021411,Family Tkr,0,14,3,10,13,1,0,1,1
11503,1021412,Tkr's Deprivation,0,15,3,11,13,0,1,1,1
11603,1021413,Ghinn's Escape,0,16,3,12,13,1,0,1,0
21513,1021416,New Sky,1,-1,-1,15,13,1,0,0,1
10706,1021417,Aladna Hill,0,7,6,16,13,1,1,1,0
10806,1021418,Akeela's Beacon,0,8,6,17,13,1,1,0,0
11709,1021419,Gaian Star,0,17,9,18,13,0,0,0,1
11809,1021420,Mercenaries' Rift,0,18,9,19,13,0,1,1,1
11909,1021421,Maelstrom,0,19,9,20,13,1,0,1,0
11109,1021503,Acquisition Repository,0,11,9,2,14,1,1,0,1
10602,1021504,Thuruk's Pride,0,6,2,3,14,1,1,1,1
10912,1021505,Moo-Kye's Revenge,0,9,12,4,14,1,0,1,1
10909,1021506,Ceo's Doubt,0,9,9,5,14,1,1,1,1
11207,1021507,V Beta,0,12,7,6,14,0,0,1,0
20714,1021508,Teladi Loss,1,-1,-1,7,14,1,0,0,1
10009,1021509,Senator's Badlands,0,0,9,8,14,1,1,1,0
20914,1021510,The Giant,1,-1,-1,9,14,1,1,0,1
21014,1021511,Dreamer's Victory,1,-1,-1,10,14,0,0,1,1
11413,1021512,Uranus 2,0,14,13,11,14,1,1,1,1
11911,1021513,Xenon Sector 7,0,19,11,12,14,0,0,1,1
12011,1021514,Xenon Sector 9,0,20,11,13,14,0,0,1,0
21514,1021516,Distant Coast,1,-1,-1,15,14,0,1,0,0
10707,1021517,Light of Heart,0,7,7,16,14,1,1,0,1
10807,1021518,Legend's Home,0,8,7,17,14,1,0,1,0
21814,1021519,Xenon Sector 137,1,-1,-1,18,14,0,1,0,1
11810,1021520,Lost Order,0,18,10,19,14,1,0,1,1
11609,1021521,Twisted Skies,0,16,9,20,14,0,1,1,0
11110,1021603,Spaceweed Grove,0,11,10,2,15,1,1,0,0
10603,1021604,Rhonkar's Fire,0,6,3,3,15,1,1,0,0
20415,1021605,Rhonkar's Mistake,1,-1,-1,4,15,0,1,0,1
10200,1021606,Queen's Space,0,2,0,5,15,1,1,1,0
11208,1021607,V Delta,0,12,8,6,15,0,1,0,0
20715,1021608,Hunter's Island,1,-1,-1,7,15,0,1,0,1
10010,1021609,Weaver's Tempest,0,0,10,8,15,1,0,1,0
20915,1021610,Odin's Moon,1,-1,-1,9,15,1,1,0,1
21015,1021611,Hidden Refuge,1,-1,-1,10,15,0,0,1,1
10013,1021612,Depths of Silence,0,0,13,11,15,1,0,1,1
10113,1021613,Dark Waters,0,1,13,12,15,0,1,1,1
10609,1021614,Lucky Planets,0,6,9,13,15,0,1,1,0
21515,1021616,Albion,1,-1,-1,15,15,1,1,0,1
10708,1021617,Montalaar,0,7,8,16,15,1,1,1,0
21715,1021618,Duke's Rebels,1,-1,-1,17,15,0,0,0,1
10309,1021619,Trinity Sanctum,0,3,9,18,15,1,1,1,1
10409,1021620,Preacher's Refuge,0,4,9,19,15,0,1,1,0
11509,1021621,Spires of Elusion,0,15,9,20,15,1,1,0,0
10808,1021703,Unknown Sector Epsilon,0,8,8,2,16,1,0,0,0
10604,1021704,Family Rhonkar,0,6,4,3,16,1,1,0,1
10802,1021705,Rhonkar's Might,0,8,2,4,16,1,0,1,0
10313,1021706,Barren Shores,0,3,13,5,16,1,0,0,1
10300,1021707,Menelaus' Frontier,0,3,0,6,16,1,1,1,1
11600,1021708,Unknown Sector Alpha,0,16,0,7,16,1,0,1,1
11305,1021709,Circle of Labour,0,13,5,8,16,0,1,1,0
10310,1021710,Bad Debt,0,3,10,9,16,1,1,0,0
11300,1021711,The Vault,0,13,0,10,16,0,1,0,0
10315,1021712,Unknown Sector Nu,0,3,15,11,16,0,1,0,0
10114,1021713,Shining Currents,0,1,14,12,16,1,0,0,1
10301,1021714,Rolk's Fate,0,3,1,13,16,1,1,1,1
11205,1021715,Void of Opportunity,0,12,5,14,16,0,0,1,1
11701,1021716,Getsu Fune,0,17,1,15,16,1,1,1,1
10712,1021717,Leap of Faith,0,7,12,16,16,1,1,1,0
21716,1021718,Mining Core,1,-1,-1,17,16,0,1,0,1
11812,1021719,Bright Profit,0,18,12,18,16,1,1,1,0
10813,1021720,Priest Refuge,0,8,13,19,16,1,1,0,0
11010,1021721,Magrathea,0,10,10,20,16,1,1,0,0
10605,1021804,Thuruk's Beard,0,6,5,3,17,1,0,0,1
11700,1021805,Xenon Sector 534,0,17,0,4,17,0,0,1,0
20617,1021807,Horizon,1,-1,-1,6,17,1,1,0,1
20717,1021808,Federation Core,1,-1,-1,7,17,0,1,1,1
11306,1021809,Omicron Lyrae,0,13,6,8,17,1,1,1,1
10311,1021810,Ministry of Finance,0,3,11,9,17,1,1,1,1
11301,1021811,Shareholder's Fortune,0,13,1,10,17,1,1,1,1
11401,1021812,Mines of Fortune,0,14,1,11,17,1,1,1,1
11906,1021813,Xenon Sector 598,0,19,6,12,17,0,1,1,1
10302,1021814,Atreus' Clouds,0,3,2,13,17,1,1,1,0
11112,1021815,Saturn 2,0,11,12,14,17,0,1,0,1
11012,1021816,Saturn 3,0,10,12,15,17,1,1,1,0
10503,1021817,Blue Profit,0,5,3,16,17,1,1,0,1
11713,1021818,Sanctity of Corruption,0,17,13,17,17,1,1,1,1
11813,1021819,Company Strength,0,18,13,18,17,1,1,1,1
10913,1021820,Cardinal's Domain,0,9,13,19,17,1,1,1,1
11013,1021821,Sacred Relic,0,10,13,20,17,1,1,1,0
20618,1021907,Frontier Gate,1,-1,-1,6,18,1,0,0,0
11506,1021908,Black Hole Sun,0,15,6,7,18,1,1,0,1
11406,1021909,Treasure Chest,0,14,6,8,18,1,0,1,1
11108,1021910,Homily of Perpetuity,0,11,8,9,18,1,0,1,1
21018,1021911,Trader's Peace,1,-1,-1,10,18,1,0,1,1
21118,1021912,Fields of Nividium,1,-1,-1,11,18,1,0,1,0
12006,1021913,Xenon Sector 627,0,20,6,12,18,1,1,0,0
11407,1021914,Far Point,0,14,7,13,18,1,1,0,1
11111,1021915,Jupiter 2,0,11,11,14,18,1,1,1,1
11011,1021916,Jupiter 3,0,10,11,15,18,1,1,1,0
10504,1021917,Ceo's Sprite,0,5,4,16,18,1,1,0,1
11007,1021918,Eighteen Billion,0,10,7,17,18,1,1,1,0
11006,1021919,Y Beta,0,10,6,18,18,1,0,0,0
10914,1021920,Friar's Retreat,0,9,14,19,18,1,0,0,1
11014,1021921,Pontifex' Seclusion,0,10,14,20,18,1,0,1,0
11507,1022008,Nathan's Voyage,0,15,7,7,19,1,0,0,0
12105,1022012,Xenon Sector 695,0,21,5,11,19,0,0,0,1
12106,1022013,Xenon Core 023,0,21,6,12,19,1,0,1,0
11408,1022014,Argon Sector M148,0,14,8,13,19,1,0,0,0
21419,0,Tyrianis Prime,-2,-1,-1,-1,-1,1,0,0,0
11312,1022015,Titan,0,13,12,14,19,1,0,0,0
21519,0,Alliance's Edge,-2,-1,-1,-1,-1,1,0,0,1
11513,1022016,Uranus 3,0,15,13,15,19,1,0,0,1
10505,1022017,Company Pride,0,5,5,16,19,1,0,1,1
11008,1022018,Ianamus Zura,0,10,8,17,19,1,0,1,1
10906,1022019,Y Alpha,0,9,6,18,19,0,0,1,0
12319,1020000,Unknown Sector,0,23,19,23,19,0,0,0,0
